name	y	weight	is_annotated	is_self_targeting	f_directon_gene_lengths_mean	f_length_raw	f_unique_gene_annotated_fraction_raw	f_hydrophobicity_raw	is_hth	f_directon_size_raw
ASEQ_ID_19924	1	0.910561294	TRUE	FALSE	744	744	1	-0.36922043	FALSE	1
ASEQ_ID_19925	1	0.867503966	FALSE	FALSE	270.6666667	102	0.666666667	-0.32254902	FALSE	3
ASEQ_ID_19926	1	0.312619402	TRUE	FALSE	270.6666667	349	0.666666667	0.403438395	FALSE	3
ASEQ_ID_19927	1	0.06165549	TRUE	FALSE	270.6666667	361	0.666666667	-0.063157895	FALSE	3
ASEQ_ID_19928	1	0.167711873	TRUE	FALSE	519	519	1	-0.638342967	TRUE	1
ASEQ_ID_19929	1	0.268685958	TRUE	FALSE	253.5	284	0.5	-0.202464789	FALSE	2
ASEQ_ID_19930	1	0.664764924	FALSE	FALSE	253.5	223	0.5	-0.303139013	FALSE	2
ASEQ_ID_19931	1	0.689508181	TRUE	FALSE	2250	2250	1	0.123644444	FALSE	1
ASEQ_ID_19932	1	0.560414206	TRUE	FALSE	77	77	1	0.150649351	FALSE	1
ASEQ_ID_19945	1	0.043636199	TRUE	FALSE	55	55	1	-0.12	FALSE	1
ASEQ_ID_19946	1	0.807094022	TRUE	FALSE	369.5	245	1	-0.348163265	FALSE	2
ASEQ_ID_19947	1	0.723690147	TRUE	FALSE	369.5	494	1	-0.323684211	FALSE	2
ASEQ_ID_19948	1	0.193865548	TRUE	FALSE	519	890	1	-0.350898876	FALSE	2
ASEQ_ID_19949	1	0.700530315	TRUE	FALSE	519	148	1	0.768243243	FALSE	2
ASEQ_ID_19950	1	0.061683837	TRUE	FALSE	449	828	1	0.046618357	FALSE	2
ASEQ_ID_19951	1	0.927598355	TRUE	FALSE	449	70	1	-0.202857143	FALSE	2
ASEQ_ID_19952	1	0.414368982	FALSE	FALSE	65	65	0	0.761538462	FALSE	1
ASEQ_ID_19953	1	0.960402948	FALSE	FALSE	229	229	0	-0.286899563	FALSE	1
ASEQ_ID_19954	1	0.231108566	FALSE	FALSE	156	156	0	-0.632051282	FALSE	1
ASEQ_ID_19955	1	0.595460522	TRUE	FALSE	244	318	0.5	-0.194968553	FALSE	2
ASEQ_ID_19956	1	0.607663451	FALSE	FALSE	244	170	0.5	0.664705882	FALSE	2
ASEQ_ID_19957	1	0.262812503	TRUE	FALSE	350	350	1	0.141428571	FALSE	1
ASEQ_ID_19958	1	0.346586447	TRUE	FALSE	509	864	0.666666667	0.086574074	FALSE	3
ASEQ_ID_19959	1	0.902201737	FALSE	FALSE	509	467	0.666666667	-0.497430407	FALSE	3
ASEQ_ID_19960	1	0.301917034	TRUE	FALSE	509	196	0.666666667	-0.538265306	TRUE	3
ASEQ_ID_19990	1	0.808170954	TRUE	FALSE	357.5	248	1	-0.383467742	FALSE	2
ASEQ_ID_19991	1	0.222888883	TRUE	FALSE	357.5	467	1	-0.066381156	FALSE	2
ASEQ_ID_19992	1	0.660641483	TRUE	FALSE	235	293	1	0.074061433	FALSE	3
ASEQ_ID_19993	1	0.095505166	TRUE	FALSE	235	291	1	-0.441924399	FALSE	3
ASEQ_ID_19994	1	0.680276237	TRUE	FALSE	235	121	1	1.025619835	FALSE	3
ASEQ_ID_19995	1	0.893814952	TRUE	FALSE	411	411	1	0.039659367	FALSE	1
ASEQ_ID_19996	1	0.530244456	TRUE	FALSE	363	363	1	0.037190083	FALSE	1
ASEQ_ID_19997	1	0.775770565	TRUE	FALSE	271	298	1	0.594295302	TRUE	2
ASEQ_ID_19998	1	0.715507685	TRUE	FALSE	271	244	1	-0.25	TRUE	2
ASEQ_ID_19999	1	0.168690212	TRUE	FALSE	257	257	1	-0.382879377	TRUE	1
ASEQ_ID_20000	1	0.347084028	TRUE	FALSE	106	106	1	-0.131132075	FALSE	1
ASEQ_ID_20001	1	0.952771154	TRUE	FALSE	174	174	1	-0.612643678	FALSE	1
ASEQ_ID_20002	1	0.788197839	TRUE	FALSE	622	622	1	-0.202411576	FALSE	1
ASEQ_ID_20003	1	0.707278258	TRUE	FALSE	528	528	1	0.439393939	FALSE	1
ASEQ_ID_20004	1	0.216451986	FALSE	FALSE	139	139	0	-0.203597122	FALSE	1
ASEQ_ID_20005	1	0.333109468	TRUE	FALSE	223	202	0.666666667	0.014851485	FALSE	3
ASEQ_ID_20006	1	0.353463966	TRUE	FALSE	223	284	0.666666667	0.088732394	FALSE	3
ASEQ_ID_20007	1	0.489523464	FALSE	FALSE	223	183	0.666666667	-0.477595628	FALSE	3
ASEQ_ID_20008	1	0.036125454	TRUE	FALSE	1522	1522	1	-0.317279895	FALSE	1
ASEQ_ID_20009	1	0.904073646	FALSE	FALSE	202	202	0	-0.120792079	FALSE	1
ASEQ_ID_20010	1	0.902192013	TRUE	FALSE	296	250	1	-0.1128	TRUE	3
ASEQ_ID_20011	1	0.938599245	TRUE	FALSE	296	497	1	-0.260764588	FALSE	3
ASEQ_ID_20012	1	0.659035879	TRUE	FALSE	296	141	1	0.510638298	FALSE	3
ASEQ_ID_20013	1	0.325658865	TRUE	FALSE	575	575	1	-0.636869565	FALSE	1
ASEQ_ID_20014	-1	0.61595865	FALSE	FALSE	289	289	0	-0.357785467	FALSE	1
ASEQ_ID_20029	-1	0.917730182	FALSE	FALSE	94	94	0	0.45106383	FALSE	1
ASEQ_ID_20030	-1	0.464080721	TRUE	FALSE	188	346	0.5	-0.030057803	FALSE	2
ASEQ_ID_20031	-1	0.244854546	FALSE	FALSE	188	30	0.5	0.336666667	FALSE	2
