name	is_annotated	is_self_targeting	f_directon_gene_lengths_mean	f_length_raw	f_unique_gene_annotated_fraction_raw	f_hydrophobicity_raw	is_hth	f_directon_size_raw
ASEQ_ID_20081	TRUE	FALSE	172.5	213	0.25	-0.503286385	FALSE	4
ASEQ_ID_20082	FALSE	FALSE	172.5	106	0.25	-0.447169811	FALSE	4
ASEQ_ID_20083	FALSE	FALSE	125	43	0.5	-0.376744186	FALSE	4
ASEQ_ID_20084	TRUE	FALSE	125	136	0.5	-0.258088235	FALSE	4
ASEQ_ID_20085	FALSE	FALSE	125	160	0.5	-0.323125	FALSE	4
ASEQ_ID_20086	TRUE	FALSE	125	161	0.5	-0.383229814	FALSE	4
ASEQ_ID_20087	FALSE	FALSE	95	95	0	-0.788421053	FALSE	1
ASEQ_ID_20088	FALSE	FALSE	159	159	0	-0.26163522	FALSE	1
ASEQ_ID_20089	FALSE	FALSE	163.6666667	188	0.333333333	-0.235638298	FALSE	9
ASEQ_ID_20090	FALSE	FALSE	163.6666667	313	0.333333333	-0.3	FALSE	9
ASEQ_ID_20091	TRUE	FALSE	163.6666667	172	0.333333333	-0.212790698	FALSE	9
ASEQ_ID_20092	TRUE	FALSE	163.6666667	139	0.333333333	-0.166906475	FALSE	9
ASEQ_ID_20093	FALSE	FALSE	163.6666667	165	0.333333333	-0.126666667	FALSE	9
ASEQ_ID_20094	TRUE	FALSE	163.6666667	120	0.333333333	-0.429166667	FALSE	9
ASEQ_ID_20095	FALSE	FALSE	163.6666667	130	0.333333333	-0.293076923	FALSE	9
ASEQ_ID_20096	FALSE	FALSE	163.6666667	140	0.333333333	-0.41	FALSE	9
ASEQ_ID_20097	FALSE	FALSE	163.6666667	106	0.333333333	-0.335849057	FALSE	9
ASEQ_ID_20098	FALSE	FALSE	151.3333333	253	0	-0.218181818	FALSE	3
ASEQ_ID_20099	FALSE	FALSE	151.3333333	131	0	-0.783206107	FALSE	3
ASEQ_ID_20100	FALSE	FALSE	151.3333333	70	0	-0.107142857	FALSE	3
ASEQ_ID_20101	TRUE	FALSE	210	210	1	-0.334761905	FALSE	1
ASEQ_ID_20129	TRUE	FALSE	394	394	1	-0.240101523	FALSE	1
ASEQ_ID_20130	TRUE	FALSE	253.5	273	1	-0.172161172	FALSE	2
ASEQ_ID_20131	TRUE	FALSE	253.5	234	1	-0.527777778	FALSE	2
ASEQ_ID_20132	TRUE	FALSE	264	264	1	-0.492424242	FALSE	1
ASEQ_ID_20133	TRUE	FALSE	444	406	1	-0.101477833	FALSE	2
ASEQ_ID_20134	TRUE	FALSE	444	482	1	-0.496058091	FALSE	2
ASEQ_ID_20135	FALSE	FALSE	102	102	0	-0.610784314	FALSE	1
ASEQ_ID_20136	TRUE	FALSE	279	276	1	0.006521739	FALSE	3
ASEQ_ID_20137	TRUE	FALSE	279	290	1	-0.080344828	FALSE	3
ASEQ_ID_20138	TRUE	FALSE	279	271	1	-0.024354244	FALSE	3
ASEQ_ID_20139	TRUE	FALSE	312.75	163	1	-0.063803681	FALSE	4
ASEQ_ID_20140	TRUE	FALSE	312.75	279	1	-0.272759857	FALSE	4
ASEQ_ID_20141	TRUE	FALSE	312.75	464	1	-0.389008621	FALSE	4
ASEQ_ID_20142	TRUE	FALSE	312.75	345	1	-0.173043478	FALSE	4
ASEQ_ID_20143	TRUE	FALSE	127	127	1	-0.080314961	FALSE	1
ASEQ_ID_20144	TRUE	FALSE	131	131	1	-0.18778626	FALSE	1
ASEQ_ID_20145	TRUE	FALSE	192	160	1	-0.196875	FALSE	2
ASEQ_ID_20146	TRUE	FALSE	192	224	1	-0.038392857	FALSE	2
ASEQ_ID_20147	TRUE	FALSE	183.8	137	0.8	-0.402919708	FALSE	5
ASEQ_ID_20148	FALSE	FALSE	183.8	107	0.8	0.871962617	FALSE	5
ASEQ_ID_20149	TRUE	FALSE	183.8	84	0.8	1.054761905	FALSE	5
ASEQ_ID_20150	TRUE	FALSE	183.8	127	0.8	1.201574803	FALSE	5
ASEQ_ID_20151	TRUE	FALSE	183.8	464	0.8	0.07737069	FALSE	5
ASEQ_ID_20152	FALSE	FALSE	115	115	0	-0.239130435	FALSE	1
ASEQ_ID_20153	FALSE	FALSE	66	66	0	0.428787879	FALSE	1
ASEQ_ID_20154	FALSE	FALSE	109	115	0.5	-0.09826087	FALSE	2
ASEQ_ID_20155	TRUE	FALSE	109	103	0.5	0.058252427	FALSE	2
ASEQ_ID_20156	TRUE	FALSE	275	291	1	-0.267697595	FALSE	3
ASEQ_ID_20157	TRUE	FALSE	275	256	1	0.009375	FALSE	3
ASEQ_ID_20158	TRUE	FALSE	275	278	1	1.141726619	FALSE	3
ASEQ_ID_20159	FALSE	FALSE	84.5	78	0	-0.680769231	FALSE	2
ASEQ_ID_20160	FALSE	FALSE	84.5	91	0	0.047252747	FALSE	2
ASEQ_ID_20196	TRUE	FALSE	477	477	1	-0.32851153	FALSE	1
ASEQ_ID_20197	TRUE	FALSE	386	583	1	-0.101715266	FALSE	2
ASEQ_ID_20198	TRUE	FALSE	386	189	1	0.053439153	FALSE	2
ASEQ_ID_20199	TRUE	FALSE	288.5	434	1	-0.302995392	TRUE	2
